Brand,Rating,N_Reviews,Price,Screen_size,warranty,pixels,os,discount
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
OnePlus,4.3,"7,196 ","₹24,999",43,1,1920 x 1080,Android,21
iFFALCON,4.2,"2,206 ","₹19,999",43,1,3840 x 2160,Google,59
OnePlus,4.3,"7,196 ","₹15,999",32,1,1366 x 768,Android,27
LG,4.4,341 ,"₹15,990",32,2,1366 x 768,WebOS,33
SAMSUNG,4.3,"1,503 ","₹30,990",43,1,3840 x 2160,Tizen,41
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
OnePlus,4.3,"8,400 ","₹21,999",40,1,1920 x 1080,Android,26
Mi,4.3,"1,354 ","₹28,999",43,1,3840 x 2160,Android,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
realme,4.3,"4,092 ","₹24,999",43,1,3840 x 2160,Android,24
Mi,4.3,"7,372 ","₹21,999",40,1,1920 x 1080,Android,26
TCL,4.1,165 ,"₹24,990",43,2,3840 x 2160,Google,52
realme,4.3,"23,181 ","₹15,999",32,1,1366 x 768,Android,11
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
realme,4.3,"23,181 ","₹18,999",40,1,1920 x 1080,Android,40
ONIDA,,,"₹22,999",43,1,3840 x 2160,Google,34
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
SAMSUNG,4.4,"2,520 ","₹33,990",43,1,3840 x 2160,Tizen,38
Acer,4.3,"2,520 ","₹26,999",50,2,3840 x 2160,Android,34
SAMSUNG,4.4,"2,520 ","₹47,990",55,1,3840 x 2160,Tizen,34
TOSHIBA,4.3,359 ,"₹30,999",50,2,3840 x 2160,Google,43
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
SONY,4.6,"1,963 ","₹41,990",43,1,3840 x 2160,Google,39
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
Thomson,4.5,"8,390 ","₹22,999",43,1,3840 x 2160,Google,36
CANDY,4.4,44 ,"₹18,999",43,2,3840 x 2160,Google,47
Mi,4.3,"1,354 ","₹34,999",50,1,3840 x 2160,Android,22
Compaq,4.2,485 ,"₹22,999",50,1,3840 x 2160,Android,47
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Vu,4.4,"2,154 ","₹34,999",50,1,3840 x 2160,Google,36
Acer,4.3,"2,520 ","₹15,499",32,1,1366 x 768,Google,26
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
CANDY,4.4,44 ,"₹27,999",55,2,3840 x 2160,Google,39
TOSHIBA,4.3,359 ,"₹35,999",55,2,3840 x 2160,Google,39
Thomson,4.5,"8,390 ","₹30,999",55,1,3840 x 2160,Android,43
Infinix,4.1,882 ,"₹16,999",43,1,1920 x 1080,Android,37
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
SAMSUNG,4.4,"2,520 ","₹31,990",43,1,3840 x 2160,Tizen,33
MOTOROLA,4.3,777 ,"₹29,999",55,1,3840 x 2160,Android,45
Sansui,,,"₹27,990",50,1,3840 x 2160,Google,46
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
CANDY,4.4,24 ,"₹16,999",43,2,1920 x 1080,Android,41
TOSHIBA,4.3,232 ,"₹42,999",55,2,3840 x 2160,Google,46
Acer,4.3,"2,520 ","₹32,999",55,1,3840 x 2160,Google,45
SAMSUNG,4.3,"1,503 ","₹69,990",65,1,3840 x 2160,Tizen,29
